estate-price,estate-title,estate-subtitle,estate-rooms,estate-surface
â‚¬ 107.000,Trilocale in vendita,"Legnano, Via Padre Reginaldo Giuliani",3 locali,80 Mq
â‚¬ 217.000,Trilocale in vendita,"Legnano, Via Attilio Agosti",3 locali,100 Mq
â‚¬ 220.000,Quadrilocale in vendita,"Legnano, Via Novara",4 locali,153 Mq
â‚¬ 185.000,Casa semindipendente in vendita,"Legnano, Via Novara",3 locali,118 Mq
â‚¬ 169.000,Trilocale in vendita,"Legnano, Via L. Restelli",3 locali,75 Mq
â‚¬ 160.000,Trilocale in vendita,"Legnano, Via flora",3 locali,109 Mq
â‚¬ 75.000,Bilocale in vendita,"Legnano, Via Torino",2 locali,62 Mq
â‚¬ 128.000,Bilocale in vendita,"Legnano, Viale Pasubio",2 locali,75 Mq
â‚¬ 105.000,Bilocale in vendita,"Legnano, Via Massimo D'Azeglio",2 locali,73 Mq
â‚¬ 95.000,Bilocale in vendita,"Legnano, Via Venezia",2 locali,60 Mq
â‚¬ 139.000,Trilocale in vendita,"Legnano, Via Ciro Menotti",3 locali,100 Mq
â‚¬ 190.000,Trilocale in vendita,"Legnano, Via Flora",3 locali,120 Mq
â‚¬ 169.000,Trilocale in vendita,"Legnano, Via Restelli",3 locali,105 Mq
â‚¬ 70.000,Bilocale in vendita,"Legnano, Via torino",2 locali,60 Mq
â‚¬ 159.000,Bilocale in vendita,"Legnano, Via Guglielmo Marconi",2 locali,50 Mq
â‚¬ 139.000,Trilocale in vendita,"Liscate, Via XXV Aprile",3 locali,100 Mq
â‚¬ 195.000,Bilocale in vendita,"Liscate, Via Giovanni Str.",2 locali,75 Mq
â‚¬ 250.000,Trilocale in vendita,"Liscate, Via Papa Giovanni XXIII",3 locali,140 Mq
â‚¬ 265.000,Trilocale in vendita,"Liscate, Via G. Matteotti",3 locali,170 Mq
â‚¬ 155.000,Trilocale in vendita,"Locate Triulzi, Corte Belgioioso",3 locali,87 Mq
â‚¬ 159.000,Casa di corte in vendita,"Magenta, Via Isonzo - Ponte Vecchio",4 locali,160 Mq
â‚¬ 115.000,Trilocale in vendita,"Magenta, Via de Medici - Ponte Nuovo",3 locali,96 Mq
â‚¬ 69.000,Bilocale in vendita,"Magenta, Via Federico Confalonieri",2 locali,70 Mq
â‚¬ 169.000,Trilocale in vendita,"Magenta, Via Trieste",3 locali,101 Mq
â‚¬ 68.000,Casa di corte in vendita,"Magenta, Via Ugo Foscolo",2 locali,70 Mq
â‚¬ 185.000,Ter. residenziale in vendita,"Magenta, Via S. Luigi - Ponte Vecchio",,1585 Mq
â‚¬ 74.000,Trilocale in vendita,"Magenta, Via Pietro Micca - Ponte Nuovo",3 locali,89 Mq
â‚¬ 60.000,Casa di corte in vendita,"Magenta, Via Pasubio",1 locale,30 Mq
â‚¬ 124.000,Trilocale in vendita,"Magenta, Via Don Pietro Barberi - Ponte Vecchio",3 locali,82 Mq
â‚¬ 258.000,Trilocale in vendita,"Magenta, Via Santa Crescenzia",3 locali,115 Mq
â‚¬ 298.000,Villa singola in vendita,"Magenta, Viale dello Stadio",4 locali,180 Mq
â‚¬ 270.000,Quadrilocale in vendita,"Magenta, Via Don Lorenzo Milani",4 locali,127 Mq
â‚¬ 129.000,Trilocale in vendita,"Magenta, Via Daniele Manin",3 locali,97 Mq
â‚¬ 250.000,Casa semindipendente in vendita,"Magenta, Via Giuseppe Fornaroli",3 locali,100 Mq
â‚¬ 185.000,Trilocale in vendita,"Magenta, Via Lomeni",3 locali,112 Mq
â‚¬ 145.000,Trilocale in vendita,"Magnago, Via San Martino",3 locali,100 Mq
â‚¬ 239.000,Casa indipendente in vendita,"Magnago, Via Bezzecca",7 locali,255 Mq
â‚¬ 117.000,Quadrilocale in vendita,"Magnago, Via Bezzecca",4 locali,125 Mq
â‚¬ 122.000,Trilocale in vendita,"Magnago, Via Bezzeca",3 locali,130 Mq
â‚¬ 360.000,Villa singola in vendita,"Magnago, Via dei Plebisciti",4 locali,148 Mq
â‚¬ 295.000,Quadrilocale in vendita,"Magnago, Via Calvi",4 locali,120 Mq
â‚¬ 440.000,Villa singola in vendita,"Magnago, via carducci",7 locali,320 Mq
â‚¬ 162.000,Trilocale in vendita,"Marcallo Con Casone, Via Vincenzo Gioberti",3 locali,0 Mq
â‚¬ 1.250.000,Ter. residenziale in vendita,"Marcallo Con Casone, Via Maria Montessori - Casone",,10000 Mq
â‚¬ 430.000,Villa singola in vendita,"Marcallo Con Casone, Via sanzio",3 locali,167 Mq
â‚¬ 260.000,Trilocale in vendita,"Marcallo Con Casone, Via Marco d'Aviano",3 locali,139 Mq
â‚¬ 238.000,Villa a schiera in vendita,"Marcallo Con Casone, Via S. Giuseppe - Casone",3 locali,126 Mq
â‚¬ 210.000,Casa semindipendente in vendita,"Marcallo Con Casone, Via Chiesa Damiano",3 locali,180 Mq
â‚¬ 165.000,Casa semindipendente in vendita,"Marcallo Con Casone, Via manzoni",3 locali,94 Mq
â‚¬ 149.000,Trilocale in vendita,"Marcallo Con Casone, Piazza italia",3 locali,89 Mq
â‚¬ 135.000,Bilocale in vendita,"Marcallo Con Casone, Via Francesco Crispi",2 locali,62 Mq
â‚¬ 130.000,Villa singola in vendita,"Marcallo Con Casone, Via Giotto",3 locali,97 Mq
â‚¬ 128.000,Trilocale in vendita,"Marcallo Con Casone, Via pasubio",3 locali,100 Mq
â‚¬ 125.000,Bilocale in vendita,"Marcallo Con Casone, Via Varese",2 locali,65 Mq
â‚¬ 115.000,Casa di corte in vendita,"Marcallo Con Casone, Via mascagni - Casone",4 locali,142 Mq
â‚¬ 96.000,Casa semindipendente in vendita,"Marcallo Con Casone, Via xxiv maggio",3 locali,125 Mq
â‚¬ 75.000,Bilocale in vendita,"Marcallo Con Casone, Via manzoni",2 locali,52 Mq
â‚¬ 140.000,Trilocale in vendita,"Masate, Via Montagnetta",3 locali,120 Mq
â‚¬ 219.000,Trilocale in vendita,"Masate, Via G. Matteotti",3 locali,115 Mq
â‚¬ 210.000,Trilocale in vendita,"Masate, Via Federico Confalonieri",3 locali,150 Mq
â‚¬ 110.000,Bilocale in vendita,"Masate, Via S. Allende",2 locali,55 Mq
â‚¬ 195.000,Quadrilocale in vendita,"Masate, Via Achille Grandi",4 locali,128 Mq
â‚¬ 578.000,Villa singola in vendita,"Masate, Via S. Allende",5 locali,246 Mq
â‚¬ 478.000,Villa singola in vendita,"Masate, Via S. Allende",,224 Mq
â‚¬ 205.000,Trilocale in vendita,"Masate, Via Giacomo Matteotti",3 locali,100 Mq
â‚¬ 355.000,Villa a schiera d'angolo in vendita,"Masate, Via della Fonda",4 locali,200 Mq
â‚¬ 145.000,Trilocale in vendita,"Masate, Via Montagnetta",3 locali,90 Mq
â‚¬ 78.000,Bilocale in vendita,"Masate, Via Milano",2 locali,39 Mq
â‚¬ 60.000,Monolocale in vendita,"Masate, Via S. Allende",1 locale,42 Mq
â‚¬ 195.000,Quadrilocale in vendita,"Mediglia, Via Don Giovanni Minzoni",4 locali,158 Mq
â‚¬ 145.000,Trilocale in vendita,"Mediglia, Via Amedeo D'Aosta - Vigliano",3 locali,95 Mq
â‚¬ 105.000,Bilocale in vendita,"Mediglia, Via Giuseppe Garibaldi - Triginto",2 locali,45 Mq
â‚¬ 280.000,Villa a schiera in vendita,"Mediglia, Via Amedeo D'Aosta - Vigliano",5 locali,140 Mq
â‚¬ 75.000,Bilocale in vendita,"Mediglia, Strada Provinciale Cerca - Mombretto",2 locali,75 Mq
â‚¬ 120.000,Ter. residenziale in vendita,"Mediglia, Via martiri della liberta - Bustighera",,550 Mq
â‚¬ 225.000,Quadrilocale in vendita,"Mediglia, Via Ferruccio Parri",4 locali,110 Mq
â‚¬ 145.000,Trilocale in vendita,"Mediglia, Via Lattuada - Robbiano",3 locali,75 Mq
â‚¬ 175.000,Trilocale in vendita,"Mediglia, Via Stella del Sud - Bettolino",3 locali,89 Mq
â‚¬ 175.000,Bilocale in vendita,"Mediglia, Via Orsa Maggiore - Bettolino",2 locali,65 Mq
â‚¬ 93.000,Trilocale in vendita,"Mediglia, Strada Provinciale Cerca - Mombretto",3 locali,80 Mq
â‚¬ 145.000,Trilocale in vendita,"Mediglia, Via Duca D'Aosta - Vigliano",3 locali,100 Mq
â‚¬ 135.000,Trilocale in vendita,"Mediglia, Via roma",3 locali,85 Mq
â‚¬ 400.000,Porzione di bifamiliare in vendita,"Mediglia, Via Cassiopea - Bettolino",5 locali,240 Mq
â‚¬ 165.000,Trilocale in vendita,"Mediglia, Via guglielmo marconi - San Martino Olearo",3 locali,90 Mq
â‚¬ 19.000,Box / posti auto in vendita,"Melegnano, Via Baden Powell",,14 Mq
Informazioni in agenzia,Trilocale in vendita,"Melegnano, Via Papa Giovanni Xxiii",3 locali,106 Mq
â‚¬ 335.000,Casa semindipendente in vendita,"Melegnano, Via Giuseppe Mazzini",4 locali,145 Mq
â‚¬ 210.000,Trilocale in vendita,"Melegnano, Via medici",3 locali,100 Mq
â‚¬ 300.000,Quadrilocale in vendita,"Melegnano, via castellini",4 locali,170 Mq
Informazioni in agenzia,5 locali in vendita,"Melegnano, Via C. Battisti",5 locali,300 Mq
â‚¬ 125.000,Bilocale in vendita,"Melegnano, Via Cesare Battisti",2 locali,70 Mq
Informazioni in agenzia,5 locali in vendita,"Melegnano, Via zuavi",5 locali,219 Mq
â‚¬ 108.000,Bilocale in vendita,"Melegnano, Via dei platani",2 locali,68 Mq
â‚¬ 140.000,Monolocale in vendita,"Melegnano, Via Clateo Castellini",1 locale,81 Mq
â‚¬ 170.000,Trilocale in vendita,"Melegnano, Via Clateo Castellini",3 locali,90 Mq
â‚¬ 112.000,Bilocale in vendita,"Melegnano, Via dei platani",2 locali,67 Mq
Informazioni in agenzia,Trilocale in vendita,"Melegnano, Via Papa Giovanni XXIII",3 locali,106 Mq
â‚¬ 128.000,Trilocale in vendita,"Melzo, Via Torino",3 locali,95 Mq
â‚¬ 299.000,Villa a schiera centrale in vendita,"Mesero, Via Monte Rosa",4 locali,156 Mq
â‚¬ 160.000,Trilocale in vendita,"Mesero, Via Sandro Pertini",3 locali,96 Mq
â‚¬ 295.000,Villa singola in vendita,"Mesero, Via V. Veneto",4 locali,187 Mq
â‚¬ 219.000,Villa a schiera in vendita,"Mesero, Via I Maggio",4 locali,150 Mq
â‚¬ 135.000,Trilocale in vendita,"Mesero, Via Villoresi",3 locali,75 Mq
â‚¬ 89.000,Casa di corte in vendita,"Mesero, Via Marconi",2 locali,70 Mq
â‚¬ 75.000,Casa di corte in vendita,"Mesero, Via Scuola",1 locale,35 Mq
â‚¬ 35.000,Box / posti auto in vendita,"Mesero, Via I Maggio",,45 Mq
â‚¬ 110.000,Bilocale in vendita,"Mesero, Via Giuseppe Verdi",2 locali,53 Mq
â‚¬ 85.000,Casa di corte in vendita,"Mesero, Via Cuggiono",2 locali,75 Mq
â‚¬ 359.000,Quadrilocale in vendita,"Milano, Via senigallia - Bruzzano",4 locali,125 Mq
â‚¬ 280.000,Trilocale in vendita,"Milano, Via giulio Natta - Gallaratese",3 locali,90 Mq
â‚¬ 188.000,Bilocale in vendita,"Milano, Via casella - Espinasse Varesina",2 locali,50 Mq
â‚¬ 220.000,Bilocale in vendita,"Milano, Via casella - Espinasse Varesina",2 locali,52 Mq
â‚¬ 245.000,Trilocale in vendita,"Milano, Via francesco Cilea - Gallaratese",3 locali,95 Mq
â‚¬ 590.000,Trilocale in vendita,"Milano, Viale tunisia - Porta Venezia",3 locali,86 Mq
â‚¬ 370.000,Trilocale in vendita,"Milano, Via Ettore Bugatti - Le Terrazze",3 locali,106 Mq
â‚¬ 430.000,Trilocale in vendita,"Milano, Via sant'abbondio - Chiesa Rossa",3 locali,96 Mq
â‚¬ 1.580.000,Quadrilocale in vendita,"Milano, Via Emilio Motta - Corso Magenta",4 locali,145 Mq
â‚¬ 235.000,Bilocale in vendita,"Milano, Viale Rodi - Bicocca",2 locali,57 Mq
â‚¬ 365.000,Trilocale in vendita,"Milano, Via Gobetti - Lambrate",3 locali,75 Mq
â‚¬ 550.000,Trilocale in vendita,"Milano, Via Teodosio  - CittÃ  Studi Teodosio",3 locali,100 Mq
â‚¬ 229.000,Bilocale in vendita,"Milano, Via Paolo Rotta - Niguarda",2 locali,70 Mq
â‚¬ 219.000,Trilocale in vendita,"Milano, Via calizzano - Comasina",3 locali,103 Mq
â‚¬ 495.000,Bilocale in vendita,"Milano, Via Napo Torriani - Repubblica",2 locali,70 Mq
â‚¬ 289.000,Casa indipendente in vendita,"Morimondo, Via Molino Dell'Ospitale",4 locali,150 Mq
â‚¬ 220.000,Quadrilocale in vendita,"Nerviano, Via Giulio Cesare Lampugnani",4 locali,135 Mq
â‚¬ 165.000,Trilocale in vendita,"Nerviano, Via Giovanni Boccaccio",3 locali,91 Mq
â‚¬ 128.000,Trilocale in vendita,"Nerviano, Vicolo Pace",3 locali,77 Mq
â‚¬ 375.000,Porzione di bifamiliare in vendita,"Nerviano, Via Leonardo Da Vinci",4 locali,260 Mq
â‚¬ 330.000,Ter. residenziale in vendita,"Nerviano, Via XXIV Maggio",,3000 Mq
â‚¬ 55.000,Bilocale in vendita,"Nerviano, Vicolo Resegone",2 locali,40 Mq
â‚¬ 240.000,Quadrilocale in vendita,"Novate Milanese, Via Baranzate",4 locali,112 Mq
â‚¬ 245.000,Trilocale in vendita,"Novate Milanese, Via cornicione",3 locali,88 Mq
â‚¬ 160.000,Trilocale in vendita,Novate Milanese - Ovest,3 locali,84 Mq
â‚¬ 160.000,Trilocale in vendita,Novate Milanese,3 locali,84 Mq
â‚¬ 700.000,Villa singola in vendita,"Novate Milanese, Via A. Gramsci",4 locali,193 Mq
â‚¬ 310.000,Quadrilocale in vendita,"Novate Milanese, Via Roma",4 locali,126 Mq
â‚¬ 260.000,Trilocale in vendita,"Novate Milanese, Via Morandi",3 locali,101 Mq
â‚¬ 445.000,Quadrilocale in vendita,Novate Milanese,4 locali,130 Mq
â‚¬ 169.000,Trilocale in vendita,"Novate Milanese, Via Baranzate - Ovest",3 locali,75 Mq
â‚¬ 830.000,Porzione di bifamiliare in vendita,"Novate Milanese, via xxv aprile",5 locali,360 Mq
â‚¬ 105.000,Bilocale in vendita,"Novate Milanese, Via Fratelli Cairoli",2 locali,62 Mq
â‚¬ 345.000,Villa a schiera in vendita,"Novate Milanese, Via Giovanni Boccaccio",,167 Mq
â‚¬ 499.000,Porzione di bifamiliare in vendita,"Novate Milanese, Via Vignone",3 locali,170 Mq
â‚¬ 198.000,Trilocale in vendita,"Novate Milanese, Via Bollate",3 locali,75 Mq
â‚¬ 184.000,Trilocale in vendita,"Novate Milanese, Via Vialba",3 locali,84 Mq
â‚¬ 270.000,Villa a schiera in vendita,"Noviglio, Via Papa Giovanni XXIII - Santa Corinna",3 locali,160 Mq
â‚¬ 168.000,Trilocale in vendita,"Noviglio, Via Papa Giovanni XXIII - Santa Corinna",3 locali,112 Mq
â‚¬ 254.000,Villa a schiera in vendita,"Noviglio, Via G. Puccini",4 locali,183 Mq
â‚¬ 420.000,Trilocale in vendita,"Opera, Via Daniel Bovet",3 locali,120 Mq
â‚¬ 365.000,Quadrilocale in vendita,"Opera, Via Camillo Golgi",4 locali,131 Mq
â‚¬ 360.000,Trilocale in vendita,"Opera, Via Emilio SegrÃ¨",3 locali,125 Mq
â‚¬ 378.000,Quadrilocale in vendita,"Opera, Via Camillo Golgi",4 locali,131 Mq
â‚¬ 485.000,Villa a schiera in vendita,"Opera, Piazza Giovanni Falcone",4 locali,210 Mq
â‚¬ 430.000,Quadrilocale in vendita,"Opera, Via sporting mirasole - Noverasco",4 locali,145 Mq
â‚¬ 360.000,Trilocale in vendita,"Opera, Via Camillo Golgi",3 locali,128 Mq
â‚¬ 220.000,Trilocale in vendita,"Opera, Largo Rovedine",3 locali,80 Mq
â‚¬ 315.000,Quadrilocale in vendita,"Opera, Quartiere Sporting Mirasole",4 locali,140 Mq
â‚¬ 115.000,Monolocale in vendita,"Opera, Largo Rovedine",1 locale,45 Mq
â‚¬ 189.000,Trilocale in vendita,"Opera, Largo Rovedine",3 locali,75 Mq
â‚¬ 290.000,Trilocale in vendita,"Opera, Via Camillo Golgi",3 locali,92 Mq
â‚¬ 15.000,Box / posti auto in vendita,"Opera, Via Lombardia",,12 Mq
â‚¬ 88.000,Trilocale in vendita,"Ossona, Via Leopardi",3 locali,90 Mq
â‚¬ 175.000,Trilocale in vendita,"Ossona, Via Monte Bianco",3 locali,95 Mq
â‚¬ 83.000,Casa di corte in vendita,"Ossona, Corso  XXVI Aprile",3 locali,105 Mq
â‚¬ 130.000,Trilocale in vendita,"Ossona, Via Patrioti",3 locali,120 Mq
â‚¬ 75.000,Bilocale in vendita,"Paderno Dugnano, Via Domenico Scarlatti - Calderara",2 locali,55 Mq
â‚¬ 175.000,Trilocale in vendita,"Paderno Dugnano, Via Monte Santo - Cassina Amata",3 locali,89 Mq
â‚¬ 325.000,Trilocale in vendita,"Paderno Dugnano, Via monte sabotino - Palazzolo Milanese",3 locali,119 Mq
â‚¬ 195.000,Trilocale in vendita,"Paderno Dugnano, Via Cesare Battisti",3 locali,88 Mq
â‚¬ 295.000,Villa singola in vendita,"Paderno Dugnano, Via Carlo Pisacane - Palazzolo Milanese",5 locali,151 Mq
â‚¬ 225.000,Trilocale in vendita,"Paderno Dugnano, Via Pietro Gobetti - Cassina Amata",3 locali,109 Mq
â‚¬ 137.000,Trilocale in vendita,"Paderno Dugnano, Via Gabrio Casati - Palazzolo Milanese",3 locali,90 Mq
â‚¬ 10.000,Box / posti auto in vendita,"Paderno Dugnano, Via Tommaso Grossi",,14 Mq
â‚¬ 12.000,Box / posti auto in vendita,"Paderno Dugnano, Via Tommaso Grossi",,14 Mq
â‚¬ 16.000,Box / posti auto in vendita,"Paderno Dugnano, Via Tommaso Grossi - Palazzolo Milanese",1 locale,11 Mq
â‚¬ 12.500,Box / posti auto in vendita,"Paderno Dugnano, Via Don Anghileri - Palazzolo Milanese",1 locale,14 Mq
â‚¬ 152.000,Trilocale in vendita,"Paderno Dugnano, Via monte sabotino - Palazzolo Milanese",3 locali,75 Mq
â‚¬ 730.000,Porzione di bifamiliare in vendita,"Paderno Dugnano, Via Andrea Costa - Cassina Amata",6 locali,325 Mq
â‚¬ 172.000,Trilocale in vendita,"Paderno Dugnano, Via Monte Santo - Cassina Amata",3 locali,90 Mq
â‚¬ 95.000,Bilocale in vendita,"Paderno Dugnano, Via Monte Sabotino - Palazzolo Milanese",2 locali,53 Mq
â‚¬ 179.000,Trilocale in vendita,"Pantigliate, Viale Risorgimento",3 locali,90 Mq
â‚¬ 225.000,Trilocale in vendita,"Pantigliate, Via u. foscolo",3 locali,95 Mq
â‚¬ 190.000,Trilocale in vendita,"Pantigliate, Viale Risorgimento",3 locali,95 Mq
â‚¬ 80.000,Bilocale in vendita,"Pantigliate, Via filippo turati",2 locali,50 Mq
â‚¬ 315.000,Quadrilocale in vendita,"Pantigliate, Viale Risorgimento",4 locali,120 Mq
â‚¬ 345.000,Villa a schiera centrale in vendita,"Pantigliate, Via Armellini",5 locali,160 Mq
â‚¬ 122.000,Bilocale in vendita,"Pantigliate, Via guglielmo oberdan",3 locali,75 Mq
â‚¬ 284.000,Trilocale in vendita,"Pantigliate, Vicolo Cacciatori",3 locali,114 Mq
â‚¬ 320.000,Quadrilocale in vendita,"Pantigliate, Via gabriele D'annunzio",4 locali,150 Mq
â‚¬ 140.000,Trilocale in vendita,"Pantigliate, Via Amedeo D'Aosta",3 locali,95 Mq
â‚¬ 300.000,Trilocale in vendita,"Pantigliate, Vicolo Cacciatori",3 locali,123 Mq
â‚¬ 310.000,Trilocale in vendita,"Pantigliate, Via Cacciatori",3 locali,125 Mq
â‚¬ 287.000,Trilocale in vendita,"Pantigliate, Via  Cacciatori",3 locali,115 Mq
â‚¬ 294.000,Attico in vendita,"Pantigliate, Via Cacciatori",3 locali,115 Mq
â‚¬ 75.000,Trilocale in vendita,"Parabiago, Via Copernico",3 locali,90 Mq
â‚¬ 63.000,Bilocale in vendita,"Parabiago, Via Sant'Ambrogio",2 locali,67 Mq
â‚¬ 115.000,Quadrilocale in vendita,"Parabiago, Via Sant'Ambrogio",4 locali,133 Mq
â‚¬ 220.000,Trilocale in vendita,"Parabiago, Via Xxvii Novembre",3 locali,118 Mq
â‚¬ 230.000,Trilocale in vendita,"Parabiago, Via Armando Diaz",3 locali,136 Mq
â‚¬ 210.000,Porzione di bifamiliare in vendita,"Parabiago, Via Fratelli Bandiera - San Lorenzo",4 locali,148 Mq
â‚¬ 48.000,Casa di corte in vendita,"Parabiago, Via Mantegazza - Villastanza",2 locali,132 Mq
â‚¬ 375.000,Porzione di bifamiliare in vendita,"Parabiago, Via Kant - San Lorenzo",5 locali,235 Mq
â‚¬ 165.000,Villa a schiera in vendita,"Parabiago, Via Antonio Pacinotti - Villastanza",3 locali,118 Mq
â‚¬ 185.000,Trilocale in vendita,"Parabiago, via via dolomiti",3 locali,107 Mq
â‚¬ 82.000,Casa di corte in vendita,"Parabiago, Piazza Risorgimento - Villapia",2 locali,67 Mq
â‚¬ 95.000,Casa di corte in vendita,"Parabiago, Via Casorezzo - Villapia",3 locali,65 Mq
â‚¬ 179.000,Trilocale in vendita,"Parabiago, Via Chenove - Villastanza",3 locali,81 Mq
â‚¬ 122.000,Trilocale in vendita,"Parabiago, Via Benedetto Croce - San Lorenzo",3 locali,103 Mq
â‚¬ 78.000,Monolocale in vendita,"Parabiago, Via Paolo da Cannobbio",1 locale,42 Mq
â‚¬ 170.000,Trilocale in vendita,"Paullo, Via Margotti",3 locali,95 Mq
â‚¬ 340.000,Villa a schiera d'angolo in vendita,"Paullo, Via Salvo D'Acquisto",3 locali,140 Mq
â‚¬ 105.000,Rustico in vendita,Paullo - Conterico,,250 Mq
â‚¬ 168.000,Casa indipendente in vendita,"Paullo, Via Achille Grandi",3 locali,95 Mq
â‚¬ 119.000,Bilocale in vendita,"Paullo, Via Giuseppe Mazzini",2 locali,60 Mq
â‚¬ 125.000,Monolocale in vendita,"Paullo, Piazza Fabrizio de AndrÃ©",1 locale,42 Mq
â‚¬ 155.000,Bilocale in vendita,"Paullo, Via San M. in Pratello",2 locali,70 Mq
â‚¬ 150.000,Trilocale in vendita,"Paullo, Via Martiri di Belfiore",3 locali,80 Mq
â‚¬ 590.000,Villa singola in vendita,"Paullo, Via L. Da Vinci",8 locali,300 Mq
â‚¬ 360.000,Villa singola in vendita,"Paullo, Via L. Da Vinci",4 locali,150 Mq
â‚¬ 590.000,Attico in vendita,"Paullo, Via Milano",4 locali,230 Mq
â‚¬ 110.000,Bilocale in vendita,"Paullo, Via Antonio Gramsci",2 locali,65 Mq
â‚¬ 205.000,Casa indipendente in vendita,"Paullo, Via Alessandro Manzoni",3 locali,100 Mq
â‚¬ 99.000,Bilocale in vendita,"Pero, Via Benedetto Croce - Cerchiate",2 locali,70 Mq
â‚¬ 130.000,Bilocale in vendita,"Pero, Vicolo san martino",2 locali,50 Mq
â‚¬ 225.000,Trilocale in vendita,"Pero, Via Figino",3 locali,110 Mq
â‚¬ 218.000,Trilocale in vendita,"Pero, Via degli orti",3 locali,90 Mq
â‚¬ 242.000,Trilocale in vendita,"Pero, Via cesare battisti - Cerchiate",3 locali,96 Mq
â‚¬ 245.000,Trilocale in vendita,"Peschiera Borromeo, Via Oriana Fallaci - Bellaria",3 locali,80 Mq
â‚¬ 375.000,Quadrilocale in vendita,"Peschiera Borromeo, Via della Liberazione - Zeloforamagno",4 locali,140 Mq
â‚¬ 460.000,Quadrilocale in vendita,"Peschiera Borromeo, Via veneto - San Bovio",4 locali,140 Mq
â‚¬ 348.000,Quadrilocale in vendita,"Peschiera Borromeo, Via Caduti di Nassiriya - San Bovio",4 locali,130 Mq
â‚¬ 307.000,Attico in vendita,"Peschiera Borromeo, Via Oriana Fallaci - Bellaria",4 locali,144 Mq
â‚¬ 230.000,Trilocale in vendita,"Peschiera Borromeo, Via Diaz - Bettola",3 locali,103 Mq
â‚¬ 725.000,Villa singola in vendita,"Peschiera Borromeo, Via Primo Maggio - Zeloforamagno",10 locali,222 Mq
â‚¬ 650.000,Multilocale in vendita,"Peschiera Borromeo, Via Giacomo Matteotti",6 locali,280 Mq
â‚¬ 105.000,Bilocale in vendita,"Peschiera Borromeo, Via Fratelli Bandiera - Canzo",2 locali,44 Mq
â‚¬ 185.000,Bilocale in vendita,"Peschiera Borromeo, Via Carlo Alberto dalla Chiesa - Bellaria",2 locali,62 Mq
â‚¬ 307.000,Trilocale in vendita,"Peschiera Borromeo, Via Oriana Fallaci - Bellaria",3 locali,144 Mq
â‚¬ 267.000,Trilocale in vendita,"Peschiera Borromeo, Via Cesare Pavese - Bettola",3 locali,93 Mq
â‚¬ 339.000,Quadrilocale in vendita,"Peschiera Borromeo, Via Oriana Fallaci - Bellaria",4 locali,170 Mq
â‚¬ 295.000,Quadrilocale in vendita,"Peschiera Borromeo, Via Grazia Deledda - Bettola",4 locali,120 Mq
â‚¬ 325.000,Mansarda in vendita,"Peschiera Borromeo, Via Umbria - San Bovio",3 locali,107 Mq
â‚¬ 189.000,Trilocale in vendita,"Pessano Con Bornago, Via della Fornace",3 locali,96 Mq
â‚¬ 115.000,Bilocale in vendita,"Pessano Con Bornago, Via della Fornace",2 locali,100 Mq
â‚¬ 169.000,Trilocale in vendita,"Pessano Con Bornago, Via Don Milani",3 locali,100 Mq
â‚¬ 189.000,Trilocale in vendita,"Pessano Con Bornago, Via Michelangelo Buonarroti",3 locali,90 Mq
â‚¬ 189.000,Trilocale in vendita,"Pessano Con Bornago, Via Don Milani",3 locali,90 Mq
Informazioni in agenzia,Villa singola in vendita,"Pessano Con Bornago, Via Guglielmo Marconi",5 locali,300 Mq
â‚¬ 385.000,Porzione di trifamiliare in vendita,"Pessano Con Bornago, Via Gioacchino Rossini",4 locali,185 Mq
â‚¬ 199.000,Bilocale in vendita,"Pessano Con Bornago, Via Sant'Antonio",2 locali,73 Mq
â‚¬ 462.000,Quadrilocale in vendita,"Pessano Con Bornago, Via U. Foscolo",4 locali,165 Mq
â‚¬ 380.000,Quadrilocale in vendita,"Pessano Con Bornago, Via U. Foscolo",4 locali,154 Mq
â‚¬ 342.000,Quadrilocale in vendita,"Pessano Con Bornago, Via U. Foscolo",4 locali,132 Mq
â‚¬ 308.000,Trilocale in vendita,"Pessano Con Bornago, Via U. Foscolo",3 locali,100 Mq
â‚¬ 363.000,Quadrilocale in vendita,"Pessano Con Bornago, Via U. Foscolo",4 locali,126 Mq
â‚¬ 358.000,Quadrilocale in vendita,"Pessano Con Bornago, Via U. Foscolo",4 locali,143 Mq
â‚¬ 348.000,Quadrilocale in vendita,"Pessano Con Bornago, Via U. Foscolo",4 locali,136 Mq
â‚¬ 320.000,Attico in vendita,"Pieve Emanuele, Via delle Rose",5 locali,170 Mq
â‚¬ 178.000,Trilocale in vendita,"Pieve Emanuele, Via delle Rose",3 locali,112 Mq
â‚¬ 190.000,Trilocale in vendita,"Pieve Emanuele, Via F. Santi",3 locali,95 Mq
â‚¬ 225.000,Bilocale in vendita,"Pieve Emanuele, Via grandi - Fizzonasco",3 locali,77 Mq
â‚¬ 440.000,5 locali in vendita,"Pieve Emanuele, Via Giacomo Brodolini",5 locali,200 Mq
â‚¬ 255.000,Trilocale in vendita,"Pieve Emanuele, Via Giacomo Brodolini",3 locali,105 Mq
â‚¬ 129.000,Bilocale in vendita,"Pieve Emanuele, Via dei Pini",2 locali,80 Mq
â‚¬ 140.000,Monolocale in vendita,"Pioltello, Via Norberto Bobbio",1 locale,42 Mq
â‚¬ 410.000,Attico in vendita,"Pioltello, Piazza Margherita Hack - Seggiano",4 locali,150 Mq
